Word	BERT_base_common	BERT_large_common	RoBERTa_small_common	RoBERTa_large_common	DistilRoBERTa_common	DistilBERT_common	SqueezeBERT_common	MobileBERT_common	Longformer_base_common	Longformer_large_common	ALBERT_base_common	ALBERT_large_common	ALBERT_xlarge_common	ALBERT_xxlarge_common
aardvark	used	amphibious,extinct,edible,large,winged	here,dead	extinct,unique,endangered	dead,yours,mine	preserved,named	named	common,present,endangered,extinct	endangered,named,extinct,unique,known	endangered,threatened,edible,extinct,known	joyah,twinned,romanized,kaladin,koppen	true,a,called,jewish,alive	here,dead,famous,done,known,one	playable,gonna,extinct
abacus		circular	shown,pictured	broken	dead,immortal,ours,complete,real	linear,convex,present,continuous			named,long	portable,used,known	twinned,koppen	a,called,born	dead,done,known	adjustable,playable
accordion	available,used,played	portable,played,musical	used,broken	pictured,broken	signed,irreversible	electrified,used,played,broken,available	used,accordion,active,played	used,played	included,used,played	portable,used,played,known	electrified,reproduced,playable,mastered,accordion,sung	used,a,invented,accordion	good	adjustable,playable,acoustic
acorn		green,edible	said,saying,present,dead	dead,broken,small,gone,falling,ripe,crushed	sacred,dead,mine,yours	bitter,ripe,sweet,eaten,poisonous,edible	named,listed	green	edible,named,known	edible,spherical,ripe,long	joyah,characterized,edible,evalle,koppen	a,edible	there,dead,gone,big	poisonous,extinct,fertile,edible,eaten
air conditioner	installed,available	portable,cold,electric	broken,activated,on,running,working	on,running,broken,working	activated,broken,working,defective	reliable,required,installed,fitted,available	used		on,active,installed,used	installed,used,automatic,running,available	plugged,adjustable	working,compatible,leaking,defective,installed	working	leaking,working,broken
air mattress	standard,available,used	portable,used	included,used,removable,adjustable		waterproof,included,adjustable,covered,removable	available,empty,enclosed,used	available,used,covered		adjustable,used,removable,waterproof,included	portable,waterproof,used,available,removable	furnished,electrified,adjustable,rated,manufactured,plugged,equipped	available,covered,adjustable	available,adjustable,hot,covered,comfortable,flat	adequate,adjustable,comfortable,optional
air pump	automatic,used	used	working,running	working,used,broken	activated,broken,working,defective	available,required,activated,installed,used	automatic,used,operational,installed,active	electrified,electric	active,installed,used,operational	removable,adjustable,used	plugged,adjustable,operated,equipped	electrified,adjustable,manufactured,defective,used,available,installed	working	leaking,defective
airbag	fixed,removed	used	damaged,activated,operational,deployed,engaged,inflated	deployed,defective,activated	waterproof,locked,removable,defective	fixed,loaded,activated,fitted,available	available,used	electric,used,portable	activated,deployed,locked,removable,damaged	activated,removable,automatic	plugged,adjustable	leaking,hot,adjustable	tight,covered,adjustable	adjustable,fitted,included,installed
airboat	damaged	amphibious,used	destroyed,damaged,loaded	damaged,pictured	grounded,operational	operational,flying,available,manned	named	listed,available,used	named,operational,known	operational,built,long,known	electrified,joyah,towed,twinned,evalle,navigable	aboard,navigable	here,there,parked,closed,packed,flying	navigable,towed,flown,cruising
aircraft carrier	destroyed,available,used			pictured	damaged,named,operational	amphibious,operational,airborne,armed,equipped	operational	used,available,active	named,known	operational,built,classified	chartered,headquartered	operating		unmanned,towed
