Word	BERT_base_common	BERT_large_common	RoBERTa_small_common	RoBERTa_large_common	DistilRoBERTa_common	DistilBERT_common	SqueezeBERT_common	MobileBERT_common	Longformer_base_common	Longformer_large_common	ALBERT_base_common	ALBERT_large_common	ALBERT_xlarge_common	ALBERT_xxlarge_common
aardvark	used	extinct	dead	extinct,endangered	dead,yours			endangered	known,named,endangered	extinct,endangered	twinned,romanized	a,jewish	known	extinct
abacus				broken	dead	convex				used	koppen	a,called		playable,adjustable
accordion	played,used		used	pictured			used,played	used	played	used	mastered,playable	used,a		playable
acorn			saying,dead	ripe	dead	edible,poisonous			edible,named	edible,long	koppen,evalle		dead	edible,poisonous
air conditioner		portable	on,working,running	on,working,broken	defective	available			installed,on		plugged	leaking,installed		working
air mattress	available,used		removable		waterproof,removable	used,empty,available	used,available		adjustable,removable,used	available	plugged,furnished,adjustable	available	comfortable,covered	adequate,adjustable
air pump	used		working	broken	working	used	used,operational		used	removable,used	plugged,adjustable	used,adjustable,installed		defective,leaking
airbag			inflated,deployed,activated	deployed,activated	waterproof,removable	fitted	available		removable,deployed	removable,activated	adjustable	hot,adjustable	adjustable	fitted,adjustable
airboat			damaged	damaged		available	named		named	long	twinned	aboard,navigable	there	towed
aircraft carrier	available,used			pictured	operational	armed	operational		named					towed
airplane	destroyed	flying		damaged	flying	flying					joyah,electrified,evalle	flown,flying	closed,flying	flying,crashing,towed
album	complete		complete	available	released			titled		released	reissued,remastered,released	available,released		remastered
alligator			dead,named	dead	dead,endangered	hooked,threatened	migratory		named,endangered		joyah,evalle	alive,gone,extinct	alive,dead	venomous
almond	edible	edible	red	ripe,crushed	edible	poisonous	sweet,edible	white,edible	edible	edible	almond,edible,milky	almond,edible	edible	edible,ripe,eaten
aloe	edible	edible			mine,dead,yours	poisonous,endangered	named,edible	edible	edible,known	edible,poisonous	edible	fertile,edible	edible	edible,poisonous
alpaca	edible	white,extinct,endangered	present	pregnant	dead,endangered	poisonous		endangered	known	extinct,endangered	twinned,koppen	a,edible	edible	edible,endemic
altar		high,empty		complete,empty,broken	empty,sacred	empty				high,decorated	furnished	consecrated,sacred	tall	consecrated,holy
aluminum foil	transparent	transparent	used,melted		removable	transparent	aluminum	transparent		removable,used		aluminum,stainless	thin,covered	recycled
amber	rare,preserved	white,red,black	clear	red		clear	poisonous	white,black			joyah,milky			milky,edible,translucent
ambulance		here				available	available				ringing,waiting		coming,waiting	coming
amplifier			used		defective,removable	electrified,linear	active,used	electric	used	used		used,encoded	adjustable	adjustable
anchor	broken				dead	fixed	fixed				adjustable,inserted		there	
