Word	BERT_base_common	BERT_large_common	RoBERTa_small_common	RoBERTa_large_common	DistilRoBERTa_common	DistilBERT_common	SqueezeBERT_common	MobileBERT_common	Longformer_base_common	Longformer_large_common	ALBERT_base_common	ALBERT_large_common	ALBERT_xlarge_common	ALBERT_xxlarge_common
aardvark	preserved,unique,used	winged,edible,extinct,large,amphibious	dead,here	endangered,unique,extinct	welcome,dead,mine,yours,ours	endangered,perfect,preserved,named	named,active,listed	endangered,popular,extinct,common,present	known,extinct,unique,endangered,named	threatened,known,extinct,widespread,endangered,black,named,edible	romanized,joyah,koppen,kaladin,twinned	called,true,a,jewish,alive,born	dead,famous,known,gone,done,there,one,here	playable,endangered,gonna,extinct,scary
abacus	present	circular	missing,broken,shown,pictured,used	broken	dead,real,immortal,complete,yours,ours	continuous,linear,convex,present	absent	large	named,long	portable,known,used	joyah,pronounced,koppen,characterized,twinned	the,called,a,one,born	dead,done,known	adjustable,playable
accordion	used,played,available	portable,simple,played,musical	complete,used,broken	pictured,broken,new	irreversible,signed	available,used,electrified,played,broken	played,used,accordion,available,active	electric,used,played	portable,played,used,included	portable,known,played,used	electrified,playable,mastered,reprinted,transcribed,accordion,sung,reproduced	accordion,a,invented,used	good,there	adjustable,playable,phonetic,acoustic
acorn	crushed	green,edible	dead,present,saying,said	gone,small,ripe,crushed,broken,dead,falling	sacred,dead,mine,yours	eaten,edible,bitter,ripe,sweet,poisonous	used,named,listed	green,black	known,named,edible	ripe,edible,spherical,long	joyah,evalle,koppen,poisonous,characterized,edible	a,edible	small,dead,gone,there,big,here	ripe,edible,poisonous,eaten,fertile,extinct
air conditioner	available,installed	portable,cold,electric	on,running,active,working,broken,activated	on,running,working,broken	activated,working,defective,broken	installed,required,reliable,available,used,fitted	stable,used	fitted	on,installed,active,used,activated	on,installed,available,used,automatic,running	plugged,equipped,adjustable	working,plugged,defective,compatible,leaking,installed	working	broken,working,cracking,leaking
air mattress	used,available,standard	portable,used	used,removable,inflated,adjustable,included	safe,cheap	removable,adjustable,covered,waterproof,broken,included,inflated	enclosed,available,used,flexible,covered,empty	covered,used,portable,available	open,covered	waterproof,removable,used,adjustable,covered,included	portable,waterproof,removable,available,used,adjustable	electrified,plugged,equipped,rated,manufactured,furnished,adjustable	available,covered,adjustable	comfortable,expensive,adjustable,flat,covered,hot,available	optional,adjustable,comfortable,adequate,flexible,available
air pump	portable,used,automatic	used,powered	installed,running,operational,used,working,operating	working,broken,used	activated,working,defective,broken	installed,used,available,required,activated,fitted	operated,automatic,active,installed,used,operational	electric,used,electrified	connected,installed,active,used,operational	used,adjustable,powered,removable	operated,plugged,equipped,adjustable	electrified,defective,used,available,optional,manufactured,adjustable,installed	running,working	broken,defective,leaking
airbag	fixed,removed	used	engaged,operational,active,loaded,inflated,damaged,deployed,activated	engaged,present,defective,deployed,activated	removable,locked,waterproof,defective,broken	sealed,activated,fixed,loaded,available,fitted	used,empty,available	used,free,electric,portable	locked,removable,deployed,active,damaged,activated	automatic,removable,activated	plugged,adjustable	hot,covered,leaking,adjustable	adjustable,tight,covered,big	activated,installed,adjustable,included,fitted
airboat	used,damaged,disabled	used,amphibious	loaded,damaged,destroyed	pictured,small,damaged	grounded,operational	available,operational,manned,flying	named	used,equipped,available,listed	protected,known,classified,operational,named	built,known,operated,launched,long,manned,used,operational	electrified,towed,rated,navigable,joyah,evalle,twinned	flying,navigable,mine,aboard	packed,moving,there,here,closed,parked,flying,underwater	towed,unmanned,cruising,flown,navigable
aircraft carrier	used,destroyed,available		named	pictured,operational	grounded,named,damaged,operational	operational,amphibious,listed,airborne,armed,equipped	operational,listed	used,available,armed,active,present	known,used,named	active,operational,built,classified	chartered,rated,headquartered	operating		towed,unmanned
