Word	BERT_base_common	BERT_large_common	RoBERTa_small_common	RoBERTa_large_common	DistilRoBERTa_common	DistilBERT_common	SqueezeBERT_common	MobileBERT_common	Longformer_base_common	Longformer_large_common	ALBERT_base_common	ALBERT_large_common	ALBERT_xlarge_common	ALBERT_xxlarge_common
aardvark	used	extinct	dead	endangered,extinct,unique	dead,yours,mine			present,endangered,extinct,common	extinct,named,known,endangered	extinct,endangered	twinned,koppen,romanized,joyah	jewish,a	one,known,dead	gonna,extinct
abacus		circular	shown	broken	dead,complete	present,convex			long	used,known	koppen,twinned	called,a	done	playable,adjustable
accordion	available,played,used	musical,portable	used,broken	pictured		available	active,accordion,played,used	used	used,played	used	playable,reproduced,mastered,accordion	a,used,invented		playable,adjustable
acorn		edible	present,saying,dead	gone,broken,ripe,dead,falling	dead,sacred	eaten,edible,poisonous,ripe	named,listed	green	edible,named,known	edible,long,spherical	edible,characterized,koppen,evalle,joyah	edible,a	there,dead	fertile,poisonous,extinct,edible
air conditioner	installed,available	electric,portable	on,working,running	broken,running,working,on	broken,defective	required,installed,available			installed,on	available,running,installed	plugged	installed,leaking,defective	working	working,leaking
air mattress	available,used	portable,used	included,removable		adjustable,included,waterproof,removable	empty,available,used	available,used		adjustable,included,removable,used	available,used	furnished,adjustable,plugged,manufactured	available	covered,hot,comfortable	comfortable,adequate,adjustable
air pump	used	used	working	working,broken	working,activated	activated,used	installed,operational,used	electrified	used	removable,used	adjustable,operated,plugged	adjustable,used,installed,manufactured	working	leaking,defective
airbag	removed	used	activated,damaged,inflated,deployed,engaged	activated,deployed	waterproof,defective,removable	fitted,loaded,activated,available	available		removable,deployed	activated,removable	plugged,adjustable	adjustable,hot	adjustable	fitted,adjustable
airboat			destroyed,damaged	damaged	operational	available	named		named,known	long,operational	evalle,twinned,joyah	navigable,aboard	flying,closed,parked,there	flown,towed,navigable
aircraft carrier	available,used			pictured	operational,named	equipped,armed,operational	operational	active,used	named,known		headquartered,chartered			towed
airplane	damaged,destroyed,lost	flying		empty,damaged	flying,safe	flying,electrified,flown		flying		known	flying,flown,evalle,joyah,electrified	flying,flown,going	flying,closed,parked	towed,flying,crashing,wrecked
album	complete	remastered	complete,numbered	available	forthcoming,released	titled	remastered	titled,remastered,finished,released	named,numbered,titled	released,available	reissued,unreleased,archived,remastered,reprinted,released	available,unreleased,released,downloadable		remastered
alligator		large	dead,male,named	dead	endangered,dead	threatened,hooked,endangered	migratory	endangered	named,endangered	known,endangered	endangered,evalle,alive,joyah	gone,extinct,alive,a	alive,there,dead	poisonous,venomous,edible
almond	edible	white,eaten,edible	red,broken	crushed,black,ripe	ripe,edible,sweet	eaten,sweet,edible,poisonous,ripe	edible,poisonous,sweet	white,edible	edible,long,poisonous	edible,black	edible,almond,milky,acidic	edible,almond	good,edible	ripe,spicy,eaten,edible
aloe	poisonous,edible	edible	poisonous	poisonous,edible	dead,yours,mine,ours	abundant,poisonous,endangered	poisonous,named,edible	edible	edible,poisonous,known	edible,poisonous	edible,medicinal,acidic,infectious	edible,fertile	poisonous,edible	addictive,poisonous,medicinal,edible
alpaca	edible	extinct,white,endangered	present,white,male	pregnant,pictured	endangered,dead	edible,poisonous,endangered	named	endangered	poisonous,named,known,edible	edible,extinct,endangered	twinned,koppen	extinct,edible,called,a	edible	vegetarian,endangered,endemic,edible
