models	BERT_base	BERT_large	RoBERTa_small	RoBERTa_large	DistilRoBERTa	DistilBERT	SqueezeBERT	MobileBERT	Longformer_base	Longformer_large	ALBERT_base	ALBERT_large	ALBERT_xlarge	ALBERT_xxlarge
BERT_base	1.0	0.17392082327357378	0.1364167565623877	0.11037268197462374	0.09159089741614015	0.21209996404171078	0.19177582575640809	0.246894744952997	0.1902000821903733	0.16906302974264092	0.04614283145836548	0.08314455231930958	0.0871494066882416	0.08056518723994446
BERT_large	0.17392082327357378	1.0	0.11306741322922557	0.11624629715244597	0.0764800688344378	0.12155442543792043	0.13057417681204095	0.163601222581805	0.1587224533826474	0.16606629167308734	0.03532452355267893	0.06975950754267912	0.08278090272426838	0.07278321432852179
RoBERTa_small	0.1364167565623877	0.11306741322922557	1.0	0.2309498125032099	0.192101376688755	0.09915562233523398	0.08465308813205256	0.104638619201726	0.2021472235064462	0.11316073354908288	0.022408220749644714	0.07218476567182071	0.12919855824386559	0.05141842605434845
RoBERTa_large	0.11037268197462374	0.11624629715244597	0.2309498125032099	1.0	0.17362138490779233	0.10102095854523037	0.06622532148422118	0.08653169466276257	0.11495800585606412	0.15696863067413205	0.02784091881988324	0.05759062344822867	0.12224747863906442	0.06770539031865905
DistilRoBERTa	0.09159089741614015	0.0764800688344378	0.192101376688755	0.17362138490779233	1.0	0.104009563192411	0.06191375147685825	0.06813004058149685	0.1269398212359377	0.08684247701237982	0.041574202496532646	0.06212907313230942	0.11693378538038726	0.07127232410403933
DistilBERT	0.21209996404171078	0.12155442543792043	0.09915562233523398	0.10102095854523037	0.104009563192411	1.0	0.1548376740124311	0.1292045512919299	0.13443262957826055	0.12275367716306206	0.04022833513124785	0.07724118593859697	0.07644774918237714	0.06673965343059206
SqueezeBERT	0.19177582575640809	0.13057417681204095	0.08465308813205256	0.06622532148422118	0.06191375147685825	0.1548376740124311	1.0	0.19192351158370552	0.17071967945754332	0.12414577661341406	0.042580392459033264	0.07671722230783723	0.065125811201863	0.06604060718138392
MobileBERT	0.246894744952997	0.163601222581805	0.104638619201726	0.08653169466276257	0.06813004058149685	0.1292045512919299	0.19192351158370552	1.0	0.18427338572969618	0.16180009760106828	0.052529494357973334	0.07491930788856355	0.09358936490813517	0.09011018646940984
Longformer_base	0.1902000821903733	0.1587224533826474	0.2021472235064462	0.11495800585606412	0.1269398212359377	0.13443262957826055	0.17071967945754332	0.18427338572969618	1.0	0.23705501618122882	0.0497951661786614	0.08688828102258521	0.08160348281707505	0.08911427030359076
Longformer_large	0.16906302974264092	0.16606629167308734	0.11316073354908288	0.15696863067413205	0.08684247701237982	0.12275367716306206	0.12414577661341406	0.16180009760106828	0.23705501618122882	1.0	0.06086218557901415	0.08511797743189324	0.06316116162394486	0.10225488433417224
ALBERT_base	0.04614283145836548	0.03532452355267893	0.022408220749644714	0.02784091881988324	0.041574202496532646	0.04022833513124785	0.042580392459033264	0.052529494357973334	0.0497951661786614	0.06086218557901415	1.0	0.08599103611239534	0.049856808958750755	0.12853482817075032
ALBERT_large	0.08314455231930958	0.06975950754267912	0.07218476567182071	0.05759062344822867	0.06212907313230942	0.07724118593859697	0.07671722230783723	0.07491930788856355	0.08688828102258521	0.08511797743189324	0.08599103611239534	1.0	0.11796801424633122	0.09762675296655873
ALBERT_xlarge	0.0871494066882416	0.08278090272426838	0.12919855824386559	0.12224747863906442	0.11693378538038726	0.07644774918237714	0.065125811201863	0.09358936490813517	0.08160348281707505	0.06316116162394486	0.049856808958750755	0.11796801424633122	1.0	0.09402086436876071
ALBERT_xxlarge	0.08056518723994446	0.07278321432852179	0.05141842605434845	0.06770539031865905	0.07127232410403933	0.06673965343059206	0.06604060718138392	0.09011018646940984	0.08911427030359076	0.10225488433417224	0.12853482817075032	0.09762675296655873	0.09402086436876071	1.0
