models	BERT_base	BERT_large	RoBERTa_small	RoBERTa_large	DistilRoBERTa	DistilBERT	SqueezeBERT	MobileBERT	Longformer_base	Longformer_large	ALBERT_base	ALBERT_large	ALBERT_xlarge	ALBERT_xxlarge
BERT_base	1.0	0.15025449649236025	0.1385111277910627	0.11385206097989252	0.09825134711866097	0.2173566634731684	0.15948667477793643	0.18748321377771185	0.18236648883898013	0.15564710639072876	0.038157960043073445	0.0724736585780277	0.06863885021247501	0.05434815394362333
BERT_large	0.15025449649236025	1.0	0.12030589914418195	0.12338336577580807	0.06741402325949278	0.1167029259369352	0.10267320327999933	0.13229026157828724	0.14700175917813452	0.16379999899417347	0.02924876044315326	0.06550344357787743	0.06248522983246017	0.05085333527652222
RoBERTa_small	0.1385111277910627	0.12030589914418195	1.0	0.23386599466696517	0.19170127936309153	0.10592424775272666	0.0792071227346309	0.09308574082036859	0.230389645114564	0.12114969703252579	0.028535799571398398	0.08005310163005774	0.10588684081569098	0.05281002602533173
RoBERTa_large	0.11385206097989252	0.12338336577580807	0.23386599466696517	1.0	0.16507578781041538	0.10202296421242733	0.055064683907726134	0.08513736503218716	0.13761163773299645	0.17373639273981917	0.029754747978858135	0.0709775813109625	0.10777008529364325	0.06363090687048448
DistilRoBERTa	0.09825134711866097	0.06741402325949278	0.19170127936309153	0.16507578781041538	1.0	0.10754723222360767	0.0554970365245448	0.06398016313064875	0.13020592466385317	0.08756088766202039	0.040485323121435934	0.07356420464525365	0.09486996357951046	0.06585979644232087
DistilBERT	0.2173566634731684	0.1167029259369352	0.10592424775272666	0.10202296421242733	0.10754723222360767	1.0	0.14579297904540614	0.13208419741591226	0.13946137465554925	0.13176526786487755	0.0465209959344265	0.08204927471299081	0.06830691482795054	0.06211483215933071
SqueezeBERT	0.15948667477793643	0.10267320327999933	0.0792071227346309	0.055064683907726134	0.0554970365245448	0.14579297904540614	1.0	0.13967211620933245	0.15352772751640026	0.12139120543246743	0.038082635331826396	0.06252757340945057	0.03850646087701114	0.04321531653651403
MobileBERT	0.18748321377771185	0.13229026157828724	0.09308574082036859	0.08513736503218716	0.06398016313064875	0.13208419741591226	0.13967211620933245	1.0	0.15162528799260125	0.14808191725429468	0.04424181311317249	0.069239760299631	0.058639385904758236	0.054978458255157396
Longformer_base	0.18236648883898013	0.14700175917813452	0.230389645114564	0.13761163773299645	0.13020592466385317	0.13946137465554925	0.15352772751640026	0.15162528799260125	1.0	0.24036298862350605	0.045829051087951024	0.08528790070052213	0.07169311495767823	0.07150914379878799
Longformer_large	0.15564710639072876	0.16379999899417347	0.12114969703252579	0.17373639273981917	0.08756088766202039	0.13176526786487755	0.12139120543246743	0.14808191725429468	0.24036298862350605	1.0	0.05453759322619994	0.08028199405983547	0.055267369870929915	0.08390714364919588
ALBERT_base	0.038157960043073445	0.02924876044315326	0.028535799571398398	0.029754747978858135	0.040485323121435934	0.0465209959344265	0.038082635331826396	0.04424181311317249	0.045829051087951024	0.05453759322619994	1.0	0.09561142709938653	0.046242336104082	0.1081358860485073
ALBERT_large	0.0724736585780277	0.06550344357787743	0.08005310163005774	0.0709775813109625	0.07356420464525365	0.08204927471299081	0.06252757340945057	0.069239760299631	0.08528790070052213	0.08028199405983547	0.09561142709938653	1.0	0.1206531579711191	0.09826184212844227
ALBERT_xlarge	0.06863885021247501	0.06248522983246017	0.10588684081569098	0.10777008529364325	0.09486996357951046	0.06830691482795054	0.03850646087701114	0.058639385904758236	0.07169311495767823	0.055267369870929915	0.046242336104082	0.1206531579711191	1.0	0.07143554560625774
ALBERT_xxlarge	0.05434815394362333	0.05085333527652222	0.05281002602533173	0.06363090687048448	0.06585979644232087	0.06211483215933071	0.04321531653651403	0.054978458255157396	0.07150914379878799	0.08390714364919588	0.1081358860485073	0.09826184212844227	0.07143554560625774	1.0
