models	BERT_base	BERT_large	RoBERTa_small	RoBERTa_large	DistilRoBERTa	DistilBERT	SqueezeBERT	MobileBERT	Longformer_base	Longformer_large	ALBERT_base	ALBERT_large	ALBERT_xlarge	ALBERT_xxlarge
BERT_base	1.0	0.598705501618123	0.6521035598705501	0.5906148867313916	0.5844120819848975	0.5976267529665588	0.6699029126213593	0.7235706580366774	0.5943905070118662	0.5226537216828478	0.46548004314994607	0.5560949298813377	0.6326860841423948	0.4892125134843581
BERT_large	0.598705501618123	1.0	0.6183926645091694	0.580906148867314	0.5412621359223301	0.5784789644012945	0.6101222581805107	0.6561488673139159	0.552049622437972	0.5458468176914779	0.43230852211434734	0.5250809061488673	0.5973570658036678	0.49568500539374327
RoBERTa_small	0.6521035598705501	0.6183926645091694	1.0	0.6591154261057174	0.6456310679611651	0.6003236245954693	0.6310679611650486	0.6798813376483279	0.5854908306364617	0.5393743257820928	0.46062567421790723	0.5555555555555556	0.6792520676015823	0.4964940668824164
RoBERTa_large	0.5906148867313916	0.580906148867314	0.6591154261057174	1.0	0.5884573894282632	0.5474649406688241	0.5836030204962244	0.6245954692556634	0.5180690399137001	0.5312837108953614	0.42934196332254587	0.5234627831715211	0.6313376483279396	0.49271844660194175
DistilRoBERTa	0.5844120819848975	0.5412621359223301	0.6456310679611651	0.5884573894282632	1.0	0.5590614886731392	0.5685005393743258	0.6189320388349514	0.5213052858683926	0.47303128371089537	0.4180151024811219	0.5156418554476807	0.6216289104638619	0.4608953613807983
DistilBERT	0.5976267529665588	0.5784789644012945	0.6003236245954693	0.5474649406688241	0.5590614886731392	1.0	0.5771305285868392	0.6173139158576052	0.5118662351672061	0.46485077310320033	0.40426105717367855	0.48939230492628555	0.5892664509169363	0.4511866235167206
SqueezeBERT	0.6699029126213593	0.6101222581805107	0.6310679611650486	0.5836030204962244	0.5685005393743258	0.5771305285868392	1.0	0.7068500539374326	0.5968176914778857	0.5262495505213952	0.4627831715210356	0.5453074433656958	0.6281014023732471	0.48975188781014023
MobileBERT	0.7235706580366774	0.6561488673139159	0.6798813376483279	0.6245954692556634	0.6189320388349514	0.6173139158576052	0.7068500539374326	1.0	0.6483279395900755	0.5759618842143114	0.5102481121898598	0.6005933117583603	0.6769147788565264	0.5380258899676376
Longformer_base	0.5943905070118662	0.552049622437972	0.5854908306364617	0.5180690399137001	0.5213052858683926	0.5118662351672061	0.5968176914778857	0.6483279395900755	1.0	0.5528586839266451	0.4395900755124056	0.5110571736785329	0.5558252427184466	0.46116504854368934
Longformer_large	0.5226537216828478	0.5458468176914779	0.5393743257820928	0.5312837108953614	0.47303128371089537	0.46485077310320033	0.5262495505213952	0.5759618842143114	0.5528586839266451	1.0	0.40255303847536855	0.46871628910463864	0.5293959007551241	0.470873786407767
ALBERT_base	0.46548004314994607	0.43230852211434734	0.46062567421790723	0.42934196332254587	0.4180151024811219	0.40426105717367855	0.4627831715210356	0.5102481121898598	0.4395900755124056	0.40255303847536855	1.0	0.4482200647249191	0.47680690399137	0.42691477885652646
ALBERT_large	0.5560949298813377	0.5250809061488673	0.5555555555555556	0.5234627831715211	0.5156418554476807	0.48939230492628555	0.5453074433656958	0.6005933117583603	0.5110571736785329	0.46871628910463864	0.4482200647249191	1.0	0.5728155339805825	0.4641316073354908
ALBERT_xlarge	0.6326860841423948	0.5973570658036678	0.6792520676015823	0.6313376483279396	0.6216289104638619	0.5892664509169363	0.6281014023732471	0.6769147788565264	0.5558252427184466	0.5293959007551241	0.47680690399137	0.5728155339805825	1.0	0.5142934196332255
ALBERT_xxlarge	0.4892125134843581	0.49568500539374327	0.4964940668824164	0.49271844660194175	0.4608953613807983	0.4511866235167206	0.48975188781014023	0.5380258899676376	0.46116504854368934	0.470873786407767	0.42691477885652646	0.4641316073354908	0.5142934196332255	1.0
