User ID	Word	Associative Bias	perplexity	id	min_k	makeSense	antonym1	antonym2	antonym3	p_BERT_large_Associative Bias	p_BERT_large_antonym1	p_BERT_large_antonym2	p_BERT_large_antonym3	BERT_large_qualified	p_BERT_base_Associative Bias	p_BERT_base_antonym1	p_BERT_base_antonym2	p_BERT_base_antonym3	BERT_base_qualified	p_RoBERTa_small_Associative Bias	p_RoBERTa_small_antonym1	p_RoBERTa_small_antonym2	p_RoBERTa_small_antonym3	RoBERTa_small_qualified	p_RoBERTa_large_Associative Bias	p_RoBERTa_large_antonym1	p_RoBERTa_large_antonym2	p_RoBERTa_large_antonym3	RoBERTa_large_qualified	p_DistilRoBERTa_Associative Bias	p_DistilRoBERTa_antonym1	p_DistilRoBERTa_antonym2	p_DistilRoBERTa_antonym3	DistilRoBERTa_qualified	p_DistilBERT_Associative Bias	p_DistilBERT_antonym1	p_DistilBERT_antonym2	p_DistilBERT_antonym3	DistilBERT_qualified	p_SqueezeBERT_Associative Bias	p_SqueezeBERT_antonym1	p_SqueezeBERT_antonym2	p_SqueezeBERT_antonym3	SqueezeBERT_qualified	p_MobileBERT_Associative Bias	p_MobileBERT_antonym1	p_MobileBERT_antonym2	p_MobileBERT_antonym3	MobileBERT_qualified	p_Longformer_base_Associative Bias	p_Longformer_base_antonym1	p_Longformer_base_antonym2	p_Longformer_base_antonym3	Longformer_base_qualified	p_Longformer_large_Associative Bias	p_Longformer_large_antonym1	p_Longformer_large_antonym2	p_Longformer_large_antonym3	Longformer_large_qualified	p_ALBERT_base_Associative Bias	p_ALBERT_base_antonym1	p_ALBERT_base_antonym2	p_ALBERT_base_antonym3	ALBERT_base_qualified	p_ALBERT_large_Associative Bias	p_ALBERT_large_antonym1	p_ALBERT_large_antonym2	p_ALBERT_large_antonym3	ALBERT_large_qualified	p_ALBERT_xlarge_Associative Bias	p_ALBERT_xlarge_antonym1	p_ALBERT_xlarge_antonym2	p_ALBERT_xlarge_antonym3	ALBERT_xlarge_qualified	p_ALBERT_xxlarge_Associative Bias	p_ALBERT_xxlarge_antonym1	p_ALBERT_xxlarge_antonym2	p_ALBERT_xxlarge_antonym3	ALBERT_xxlarge_qualified
XH7FWCGRRXDJ	diamond	precious	325.7676218929469	658	3	Yes	fake			4.991619288921356	0.2463265089318156	0.0	0.0	fake	2.422788552939892	0.4199752584099769	0.0	0.0	fake	4.814555865095826e-07	1.3497998452294269e-05	0.0	0.0		4.778440192458726e-26	2.490555743861477e-05	0.0	0.0		3.051569219536532e-07	7.669308388358331e-06	0.0	0.0		0.1297000446356833	0.0899072969332337	0.0	0.0	fake	0.0198869238374754	0.0011678522241709	0.0	0.0	fake	0.2301715780049562	0.0935340591240674	0.0	0.0	fake	1.4765238809388848e-06	4.061393443777206e-07	0.0	0.0	fake	1.350642806270311e-24	2.360141193591403e-07	0.0	0.0		1.1056476267867764e-05	1.1056476267867764e-05	0.0	0.0		0.0032459840440424	0.0032459840440424	0.0	0.0		3.2356371093555936e-05	3.2356371093555936e-05	0.0	0.0		3.979490514893769e-06	3.979490514893769e-06	0.0	0.0	
FPMCK2P37RW2	loveseat	empty	245.1094125860569	496	3	Yes	full	occupied		1.1164305731654167	0.0349335168721154	0.0024553506591473	0.0	full,occupied	25.718596577644348	1.107921451330185	0.5252310540527105	0.0	full,occupied	3.057354831526027e-05	1.5795066587998008e-05	1.3477240656811771e-05	0.0	full,occupied	1.4097186351591516e-05	1.6383617662540928e-05	1.852601769769535e-05	0.0		2.9588589356421835e-06	2.2931078547117068e-05	4.1366043035395705e-06	0.0		0.7063485682010651	0.0349725247360765	0.0252413476118817	0.0	full,occupied	0.3574275877326727	0.4146244376897812	0.0080342593719251	0.0	occupied	0.6885487120598555	0.1455206656828522	0.0193287327419966	0.0	full,occupied	6.790588145122456e-05	2.5897406885633245e-05	4.67391316760768e-05	0.0	full,occupied	5.141879810821592e-06	3.397499170887386e-06	6.093335969126201e-06	0.0	full	0.0002412937419649	0.0005151877303433	4.670529278882896e-05	0.0	occupied	2.0713491721835453e-05	4.547918877051416e-05	4.197245573323016e-05	0.0		1.535636613425595e-05	7.619408393111371e-06	1.187234346389232e-05	0.0	full,occupied	4.522013057339791e-05	4.344120441146515e-06	0.00011162850341861486	0.0	full
XH7FWCGRRXDJ	tuba	large	367.591727126544	728	3	Yes	small			6.731940805912018	2.4763960391283035	0.0	0.0	small	0.7865628227591515	0.6968620233237743	0.0	0.0	small	2.846400093403645e-05	4.739306547207889e-06	0.0	0.0	small	0.0001566563241794	6.678389468106616e-05	0.0	0.0	small	9.621825114436431e-06	6.806362762290519e-06	0.0	0.0	small	0.9684638120234011	0.8839253336191177	0.0	0.0	small	0.9264946915209292	0.6545235402882099	0.0	0.0	small	0.2329529030248522	0.4002675879746675	0.0	0.0		0.0002990295115523	7.866999567340827e-05	0.0	0.0	small	2.9436304771479627e-05	5.986354381093406e-05	0.0	0.0		9.425327220924372e-05	0.0002482861646058	0.0	0.0		1.9747831458971632e-05	1.477175146646914e-05	0.0	0.0	small	2.2383790820867944e-06	5.502097444320952e-07	0.0	0.0	small	0.00019160077044944046	0.00016025753666326636	0.0	0.0	small
EZCVAWE2HAMP	garter	long	691.0200969201614	993	3	Yes	short	small	little	0.7569341454654932	0.6614852230995893	0.0565703376196324	0.0018216154785477	short,small,little	0.3897959366440773	2.702813781797886	1.04233268648386	0.031108091934584	little	3.409207067761599e-05	6.74487239393784e-06	1.606528314823663e-05	2.4631763295701603e-08	short,small,little	3.872499405588314e-05	7.828477421867319e-07	1.078715143876252e-05	1.427140849941111e-07	short,small,little	7.606434593299127e-06	1.436988661396299e-06	3.0517000482177536e-06	1.2158443141174757e-07	short,small,little	1.242863666266203	1.818543300032616	0.4547372926026582	0.0043331245251465	small,little	3.2635152339935303	0.2309514442458748	1.3846611604094503	0.0021154242858756	short,small,little	0.0105735918623395	0.0359073106665164	0.169820012524724	0.0015012927178759	little	0.0008518524737155	0.0001631708414606	0.0001131087060457	1.155145423759052e-07	short,small,little	0.0001617166617506	2.010706623423175e-06	1.4392480807146056e-05	1.1837293367733537e-07	short,small,little	1.9175791976522305e-05	6.812355763941014e-05	8.101276307570515e-05	6.970233101810663e-06	little	5.302058880829463e-06	1.7797576390421455e-05	9.300861592009824e-06	4.117513796586536e-06	little	1.005344358873117e-05	1.3415328226074053e-05	6.016975362399535e-06	8.91774920575017e-07	small,little	2.1336734334909124e-05	0.00010560016789895599	0.00014451931065195822	6.909121452736144e-05	
XH7FWCGRRXDJ	treasure	ours	154.69335127044153	435	5	Yes	theirs			1.59224271774292	0.2610784722492099	0.0	0.0	theirs	0.1880958559922874	0.1002097851596772	0.0	0.0	theirs	2.616083918383083e-05	1.5604957326331714e-07	0.0	0.0	theirs	7.125875072233612e-05	2.4323048342740068e-26	0.0	0.0	theirs	3.675295658922551e-05	9.419012236833169e-08	0.0	0.0	theirs	0.0993633409962058	0.0419353047618642	0.0	0.0	theirs	0.0796034000813961	0.0157388669322244	0.0	0.0	theirs	0.0263000401901081	0.0154085195390507	0.0	0.0	theirs	1.0205389600059789e-05	1.8614912278280824e-06	0.0	0.0	theirs	2.7283249437459745e-06	6.752677274676055e-26	0.0	0.0	theirs	3.7734864122285217e-05	3.7734864122285217e-05	0.0	0.0		0.0007701388312852	0.0007701388312852	0.0	0.0		1.427653160135378e-05	1.427653160135378e-05	0.0	0.0		3.070789773573779e-05	3.070789773573779e-05	0.0	0.0	
FWD4Z73KK6F6	net	empty	159.43467745517162	93	1	Yes	full	stuffed		7.697109133005142	0.7146482355892658	0.0106391271401662	0.0	full,stuffed	1.6841478645801544	0.7181839551776648	0.0102359445008914	0.0	full,stuffed	0.0001016819510368	4.78933372960455e-05	2.7976669869644866e-07	0.0	full,stuffed	3.330651452415623e-05	0.0002569226808191	3.0328723836571395e-26	0.0	stuffed	0.0001218817260451	3.700847912568861e-05	2.061284032350841e-07	0.0	full,stuffed	1.177922822535038	0.0804679468274116	0.0052716397476615	0.0	full,stuffed	1.8886161968111992	0.0700433971360325	0.0014997360267443	0.0	full,stuffed	0.5155973602086306	0.152138015255332	0.002354224488954	0.0	full,stuffed	0.0006979930276429	0.0001109355025619	3.505808621184769e-06	0.0	full,stuffed	1.4970953543524956e-05	3.496594729313074e-05	2.6120362278028694e-26	0.0	stuffed	0.0001940772790476	0.0005425649305834	7.211584147626127e-05	0.0	stuffed	1.1662831411740626e-05	2.031308383720898e-05	0.0005396612323238	0.0		3.6730519070715673e-06	1.4472740339499524e-06	1.0894794399973762e-05	0.0	full	0.0016816858988022432	0.0008770135536906309	8.000930051821342e-05	0.0	full,stuffed
FWD4Z73KK6F6	exhaust pipe	long	364.5895643641528	719	3	Yes	short	small	tiny	2.0491980016231537	1.958206295967102	0.2623781329020858	0.0180920789716765	short,small,tiny	0.4679780453443527	1.6003215685486794	0.5504193715751171	0.011583135346882	tiny	1.048885920340581e-05	3.837415274432489e-07	5.953500803457246e-07	1.4703855910624952e-07	short,small,tiny	0.0003206608198524	3.030572059969927e-06	9.710009152286148e-06	1.078195577264296e-06	short,small,tiny	1.1311033887295707e-05	2.663240072919848e-07	1.1664782029185972e-06	1.0234970204692218e-06	short,small,tiny	1.3331913389265535	0.7817690260708332	0.2194793196395039	0.0099234501249156	short,small,tiny	13.70752602815628	1.5470017679035664	0.5968126002699137	0.0044791668187826	short,small,tiny	0.649158051237464	1.1235813610255718	0.4639876540750265	0.007225752051454	small,tiny	0.0004961902504874	1.2610952637714943e-05	1.1628394247509275e-05	2.982631475134667e-07	short,small,tiny	0.0011284394531685	1.670404259357383e-05	6.739652747000946e-06	6.679476083348845e-07	short,small,tiny	1.4036506001957603e-05	4.141642193644657e-05	0.0002311095613549	4.307139818138239e-05		1.7264669693872747e-06	9.628467267930318e-06	2.5066375997084837e-05	0.0007673548680031		5.335477837320468e-06	5.4985164865684055e-06	2.071906948231117e-05	8.226191994253895e-05		8.69987957230478e-06	4.2021611079690047e-05	5.750513309976668e-05	1.1120494036731543e-05	
FXAG33X37DRG	handlebar	straight	188.18900150346627	584	5	Yes	curved	bent	crooked	3.768754377961159	1.4968211762607098	0.2467424375936389	0.1597295282408595	curved,bent,crooked	2.999432384967804	0.8014311082661152	1.04852095246315	0.0751009560190141	curved,bent,crooked	1.374878735305174e-05	6.221457571342626e-07	1.6309782324697153e-05	6.221457571342626e-07	curved,crooked	3.3349820682815334e-05	1.380583621334546e-26	2.3608350829817937e-06	1.380583621334546e-26	curved,bent,crooked	1.0433797825726288e-06	4.60807658697604e-07	2.910881979900637e-07	4.60807658697604e-07	curved,bent,crooked	0.3834589384496212	1.1769763194024565	0.192932435311377	0.1051496947184205	bent,crooked	0.9849164634943008	0.4866649396717548	0.1895860768854618	0.1397948013618588	curved,bent,crooked	0.858071818947792	2.994176559150219	0.0233102662605233	0.0286828901153057	bent,crooked	2.7837901939165025e-05	2.045280389495474e-06	3.811981912349438e-05	2.045280389495474e-06	curved,crooked	1.4988358998380136e-05	3.524688446870558e-26	3.061819597860449e-06	3.524688446870558e-26	curved,bent,crooked	0.0001355959852844	1.1554072898434242e-05	1.1554072898434242e-05	1.1554072898434242e-05	curved,bent,crooked	7.851657812807389e-06	0.0004417503532749	0.0004417503532749	0.0004417503532749		4.916194029647159e-05	0.0001682278707448	0.0001682278707448	0.0001682278707448		5.5066772119971574e-05	1.4216765542585108e-06	1.4216765542585108e-06	1.4216765542585108e-06	curved,bent,crooked
XH7FWCGRRXDJ	computer screen	empty	59.47414766807854	41	5	Yes	full			11.662384867668152	0.7567145396023989	0.0	0.0	full	4.058545827865601	2.051900513470173	0.0	0.0	full	2.741146829521313e-05	6.443732445404748e-05	0.0	0.0		0.0001454058065064	0.0015596560842823	0.0	0.0		4.257707360011409e-05	0.0001926025106513	0.0	0.0		0.3105233889073133	0.125547545030713	0.0	0.0	full	0.139586441218853	0.2311172196641564	0.0	0.0		0.8990026079118252	0.6901324260979891	0.0	0.0	full	8.559655952922185e-05	0.0001517406872153	0.0	0.0		5.794577191409189e-05	0.0001198628979182	0.0	0.0		0.0005526483619178	0.0004070475824846	0.0	0.0	full	5.85544626119372e-05	5.082092116026615e-05	0.0	0.0	full	1.0143465800638296e-05	1.0446273179809396e-06	0.0	0.0	full	0.0010594440936984029	0.00028960250801901566	0.0	0.0	full
DZ76R6HPTQH4	funnel	round	677.3008224163841	1703	5	Yes	square	prism	oblong	2.3730365559458733	0.153342296835035	0.0322720006806775	0.0322720006806775	square,prism,oblong	1.195093896239996	0.0728805840481072	0.0054116360843181	0.0054116360843181	square,prism,oblong	6.11360473357081e-07	3.541464721479315e-06	4.580415602362109e-07	4.580415602362109e-07	prism,oblong	0.0002001658231165	1.7118404116445163e-05	3.0560662376067728e-27	3.0560662376067728e-27	square,prism,oblong	2.0071893036544005e-07	3.107965440563021e-07	2.077582550441548e-07	2.077582550441548e-07		4.08514142036438	0.1950114732608199	0.0067852590291295	0.0067852590291295	square,prism,oblong	1.7553145065903664	0.0931868446059525	1.3628557837819244e-05	0.0003009328793268	square,prism,oblong	0.8651223033666611	1.348091010004282	0.0008467060069961	0.0015260196960298	prism,oblong	1.0316222898154592e-05	4.173398906459624e-05	3.6425948479745776e-06	3.6425948479745776e-06	prism,oblong	0.0002822134092639	1.1040084757496516e-05	5.69311054536689e-26	5.69311054536689e-26	square,prism,oblong	4.774857416123268e-05	0.0003875811216857	2.6569267674858565e-05	2.6569267674858565e-05	prism,oblong	3.1104480768817666e-06	8.969173848072387e-06	0.002302233588125	0.002302233588125		3.096292289228586e-06	1.1460313587008386e-06	6.476313387793198e-05	6.476313387793198e-05	square	5.803186695629847e-05	0.00022343349428410875	5.964923843748693e-06	5.964923843748693e-06	prism,oblong
